fullNameForSearch,position,archetype,yearsPro,overall,speed,acceleration,agility,changeOfDirection,strength,jumping,awareness,breakTackle,carrying,jukeMove,spinMove,stiffArm,trucking,bCVision,kickReturn,throwPower,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,throwOnTheRun,throwUnderPressure,playAction,breakSack,catching,catchInTraffic,spectacularCatch,shortRouteRunning,mediumRouteRunning,deepRouteRunning,release,passBlock,passBlockPower,passBlockFinesse,runBlock,runBlockPower,runBlockFinesse,leadBlock,impactBlocking,tackle,hitPower,pursuit,playRecognition,powerMoves,finesseMoves,blockShedding,manCoverage,zoneCoverage,press,kickPower,kickAccuracy,stamina,injury,toughness,jerseyNum,plyrHandedness,team,teamId,college,plyrPortrait,totalSalary,signingBonus,primaryKey,plyrAssetname
Budda Baker,SS,S_RunSupport,6,90,91,92,91,90,72,86,92,57,72,81,72,36,36,76,66,25,15,10,10,15,17,15,27,75,71,75,51,41,36,47,35,35,35,35,35,35,23,68,75,89,88,92,40,49,64,81,85,77,20,20,94,91,93,3,Right,Cardinals,7,Washington,8472,"$39,300,000 ","$21,900,000 ",12549,BakerBudda_12549
Marquise Brown,WR,WR_Playmaker,4,84,97,94,96,92,44,85,80,74,72,90,79,52,25,87,78,22,15,10,5,15,14,6,17,90,81,85,81,82,86,76,23,10,10,41,13,14,19,33,18,12,22,16,10,10,19,17,27,12,19,16,89,86,86,2,Right,Cardinals,7,Oklahoma,9402,"$13,910,000 ","$1,600,000 ",20497,BrownMarquise_20497
Zach Ertz,TE,TE_VerticalThreat,10,83,79,81,80,71,74,79,91,71,81,75,72,73,69,83,35,42,15,10,6,10,15,6,25,92,83,85,79,77,69,82,62,61,57,56,52,56,59,68,36,12,36,17,10,10,44,19,18,10,22,22,90,87,87,86,Right,Cardinals,7,Stanford,5790,"$17,400,000 ","$12,250,000 ",857,ErtzZach_857
Isaiah Simmons,SS,S_RunSupport,3,81,93,92,91,85,73,93,77,43,65,68,63,47,39,69,58,24,6,6,6,6,12,6,12,74,60,67,39,36,32,43,23,45,45,29,45,45,18,67,80,85,83,75,67,64,65,71,75,72,20,20,92,93,87,9,Right,Cardinals,7,Clemson,569,"$2,000,000 ","$18,670,000 ",21000,SimmonsIsaiah_21000
Rondale Moore,WR,WR_Playmaker,2,80,94,92,92,91,66,87,77,79,74,88,80,53,54,90,77,41,42,36,35,37,31,29,34,86,77,79,80,76,77,65,32,23,20,49,24,28,24,44,25,18,35,16,10,10,29,10,16,15,23,20,84,84,78,4,Right,Cardinals,7,Purdue,1264,"$4,520,000 ","$2,400,000 ",21600,MooreRondale_21600
D.J. Humphries,LT,OT_Power,8,79,66,62,60,53,87,76,87,5,40,10,10,10,21,15,10,10,6,6,6,6,12,6,12,35,10,12,10,5,5,12,84,85,80,80,81,79,86,87,45,25,32,25,10,10,35,18,12,10,13,6,91,87,87,74,Right,Cardinals,7,Florida,7177,"$41,690,000 ","$29,310,000 ",2500,HumphriesDJ_2500
Jalen Thompson,FS,S_RunSupport,4,79,89,92,84,85,60,81,81,44,58,70,64,45,37,51,60,22,6,6,6,6,16,6,10,73,50,67,20,10,10,15,35,35,35,35,35,35,14,58,83,70,83,80,50,53,58,66,73,68,21,21,95,89,85,34,Right,Cardinals,7,Wash. St.,1532,"$20,420,000 ","$14,180,000 ",20813,ThompsonJalen_20813
Kyler Murray,QB,QB_Scrambler,4,79,92,94,90,90,59,64,72,76,69,86,77,49,25,93,10,90,86,81,84,89,84,83,87,50,19,21,17,15,13,11,12,12,12,13,13,13,10,10,34,12,29,17,10,10,14,17,23,10,19,15,89,81,85,1,Right,Cardinals,7,Oklahoma,9583,"$190,990,000 ","$80,600,000 ",20430,MurrayKyler_20430
Matt Prater,K,KP_Power,16,79,71,71,47,44,43,40,66,5,40,10,10,10,10,10,10,42,38,32,26,20,24,20,12,35,10,12,10,10,10,12,20,15,15,20,15,15,15,15,20,12,25,15,10,10,10,10,25,10,98,83,77,84,50,5,Right,Cardinals,7,UCF,2449,"$4,000,000 ","$3,500,000 ",28229,PraterMatt_28229
James Conner,HB,HB_PowerBack,6,77,87,87,81,80,81,76,79,84,88,84,82,86,85,85,55,23,18,14,10,20,11,10,20,68,54,67,67,60,53,65,66,45,39,53,40,41,52,49,33,37,35,17,30,49,28,10,15,15,18,16,90,85,92,6,Right,Cardinals,7,Pittsburgh,8515,"$7,470,000 ","$13,500,000 ",12664,ConnerJames_12664
